game_number,name,space,color,turns,winner,player_number
0,PLAYER 1,9854,green,384,0,1
0,PLAYER 2,9755,red,384,0,2
0,PLAYER 3,9771,yellow,384,0,3
0,PLAYER 4,10008,blue,384,1,4
1,PLAYER 1,9895,green,392,0,1
1,PLAYER 2,9969,red,392,0,2
1,PLAYER 3,10026,yellow,392,1,3
1,PLAYER 4,9837,blue,391,0,4
2,PLAYER 1,9779,green,379,0,1
2,PLAYER 2,9617,red,379,0,2
2,PLAYER 3,9741,yellow,379,0,3
2,PLAYER 4,10002,blue,379,1,4
3,PLAYER 1,9906,green,380,0,1
3,PLAYER 2,9518,red,380,0,2
3,PLAYER 3,10007,yellow,380,1,3
3,PLAYER 4,9885,blue,379,0,4
4,PLAYER 1,9636,green,387,0,1
4,PLAYER 2,9926,red,387,0,2
4,PLAYER 3,10012,yellow,387,1,3
4,PLAYER 4,9939,blue,386,0,4
5,PLAYER 1,9484,green,377,0,1
5,PLAYER 2,9855,red,377,0,2
5,PLAYER 3,9614,yellow,377,0,3
5,PLAYER 4,10012,blue,377,1,4
6,PLAYER 1,9665,green,376,0,1
6,PLAYER 2,10005,red,376,1,2
6,PLAYER 3,9642,yellow,375,0,3
6,PLAYER 4,9780,blue,375,0,4
7,PLAYER 1,9710,green,381,0,1
7,PLAYER 2,9674,red,381,0,2
7,PLAYER 3,9837,yellow,381,0,3
7,PLAYER 4,10007,blue,381,1,4
8,PLAYER 1,10014,green,382,1,1
8,PLAYER 2,9644,red,381,0,2
8,PLAYER 3,9523,yellow,381,0,3
8,PLAYER 4,9999,blue,381,0,4
9,PLAYER 1,9657,green,385,0,1
9,PLAYER 2,10002,red,385,1,2
9,PLAYER 3,9691,yellow,384,0,3
9,PLAYER 4,9747,blue,384,0,4
10,PLAYER 1,9544,green,374,0,1
10,PLAYER 2,9975,red,374,0,2
10,PLAYER 3,9726,yellow,374,0,3
10,PLAYER 4,10010,blue,374,1,4
11,PLAYER 1,9884,green,381,0,1
11,PLAYER 2,9667,red,381,0,2
11,PLAYER 3,10009,yellow,381,1,3
11,PLAYER 4,9856,blue,380,0,4
12,PLAYER 1,9901,green,386,0,1
12,PLAYER 2,9944,red,386,0,2
12,PLAYER 3,10016,yellow,386,1,3
12,PLAYER 4,9998,blue,385,0,4
13,PLAYER 1,9840,green,383,0,1
13,PLAYER 2,9965,red,383,0,2
13,PLAYER 3,9824,yellow,383,0,3
13,PLAYER 4,10007,blue,383,1,4
14,PLAYER 1,9738,green,377,0,1
14,PLAYER 2,10001,red,377,1,2
14,PLAYER 3,9730,yellow,376,0,3
14,PLAYER 4,9579,blue,376,0,4
15,PLAYER 1,9787,green,384,0,1
15,PLAYER 2,9854,red,384,0,2
15,PLAYER 3,9915,yellow,384,0,3
15,PLAYER 4,10004,blue,384,1,4
16,PLAYER 1,9935,green,393,0,1
16,PLAYER 2,10002,red,393,1,2
16,PLAYER 3,9931,yellow,392,0,3
16,PLAYER 4,9937,blue,392,0,4
17,PLAYER 1,9881,green,381,0,1
17,PLAYER 2,10006,red,381,1,2
17,PLAYER 3,9734,yellow,380,0,3
17,PLAYER 4,9814,blue,380,0,4
18,PLAYER 1,9605,green,378,0,1
18,PLAYER 2,10007,red,378,1,2
18,PLAYER 3,9906,yellow,377,0,3
18,PLAYER 4,9891,blue,377,0,4
19,PLAYER 1,10002,green,383,1,1
19,PLAYER 2,9931,red,382,0,2
19,PLAYER 3,9813,yellow,382,0,3
19,PLAYER 4,9917,blue,382,0,4
20,PLAYER 1,10006,green,374,1,1
20,PLAYER 2,9644,red,373,0,2
20,PLAYER 3,9403,yellow,373,0,3
20,PLAYER 4,9712,blue,373,0,4
21,PLAYER 1,9732,green,377,0,1
21,PLAYER 2,9798,red,377,0,2
21,PLAYER 3,10005,yellow,377,1,3
21,PLAYER 4,9493,blue,376,0,4
22,PLAYER 1,10005,green,380,1,1
22,PLAYER 2,9745,red,379,0,2
22,PLAYER 3,9737,yellow,379,0,3
22,PLAYER 4,9755,blue,379,0,4
23,PLAYER 1,9935,green,380,0,1
23,PLAYER 2,9809,red,380,0,2
23,PLAYER 3,10000,yellow,380,1,3
23,PLAYER 4,9641,blue,379,0,4
24,PLAYER 1,9768,green,382,0,1
24,PLAYER 2,9920,red,382,0,2
24,PLAYER 3,10002,yellow,382,1,3
24,PLAYER 4,9889,blue,381,0,4
25,PLAYER 1,9924,green,386,0,1
25,PLAYER 2,10001,red,386,1,2
25,PLAYER 3,9756,yellow,385,0,3
25,PLAYER 4,9648,blue,385,0,4
26,PLAYER 1,9391,green,373,0,1
26,PLAYER 2,9585,red,373,0,2
26,PLAYER 3,9703,yellow,373,0,3
26,PLAYER 4,10013,blue,373,1,4
27,PLAYER 1,9728,green,382,0,1
27,PLAYER 2,10003,red,382,1,2
27,PLAYER 3,9612,yellow,381,0,3
27,PLAYER 4,9748,blue,381,0,4
